nohup: ignoring input
 INFO  Accepting connections at http://localhost:3002
 HTTP  4/10/2026 12:32:55 PM 149.140.149.43 GET /
 HTTP  4/10/2026 12:32:55 PM 149.140.149.43 Returned 304 in 30 ms
 HTTP  4/10/2026 12:32:56 PM 149.140.149.43 GET /_expo/static/js/web/index-3f219906aeb15dbffcc4ef1b9b9d297d.js
 HTTP  4/10/2026 12:32:56 PM 149.140.149.43 Returned 304 in 26 ms
 HTTP  4/10/2026 12:32:56 PM 149.140.149.43 GET /favicon.ico
 HTTP  4/10/2026 12:32:56 PM 149.140.149.43 Returned 304 in 3 ms
 HTTP  4/10/2026 12:35:52 PM 194.27.216.11 GET /
 HTTP  4/10/2026 12:35:52 PM 194.27.216.11 Returned 200 in 14 ms
 HTTP  4/10/2026 12:35:52 PM 194.27.216.11 GET /_expo/static/js/web/index-3f219906aeb15dbffcc4ef1b9b9d297d.js
 HTTP  4/10/2026 12:35:52 PM 194.27.216.11 Returned 200 in 5 ms
 HTTP  4/10/2026 12:35:53 PM 194.27.216.11 GET /favicon.ico
 HTTP  4/10/2026 12:35:53 PM 194.27.216.11 Returned 200 in 6 ms
